as_of,id,overall_score
2017-05-17 00:00:00,44061,
2017-05-17 00:00:00,44062,
2017-05-17 00:00:00,44063,
2017-05-17 00:00:00,44064,
2017-05-17 00:00:00,44065,
2017-05-17 00:00:00,49904,100
2017-05-17 00:00:00,49905,99
2017-05-17 00:00:00,49906,94
2017-05-17 00:00:00,49907,97
2017-05-17 00:00:00,49908,100
2017-05-17 00:00:00,55230,
2017-05-17 00:00:00,86261,88
2017-05-17 00:00:00,86262,94
2017-05-17 00:00:00,86263,97
2017-05-17 00:00:00,86264,95
2017-05-17 00:00:00,86265,95
2017-05-17 00:00:00,96228,
2017-05-17 00:00:00,117041,100
2017-05-17 00:00:00,117042,100
2017-05-17 00:00:00,119637,
2017-05-17 00:00:00,124615,
2017-05-17 00:00:00,166594,91
2017-05-17 00:00:00,166595,93
2017-05-17 00:00:00,166596,84
2017-05-17 00:00:00,166597,83
2017-05-17 00:00:00,166598,84
2017-05-17 00:00:00,200720,
2017-05-17 00:00:00,216530,
2017-05-17 00:00:00,233703,100
